"Title","Start","End","Day of week","Duration","Day total","Created by","Organized by","Description","Where"
"PSA Information Sessions","01/10/2019 15:00","01/10/2019 16:30","Thu","01:30","","Becky Barber","Becky Barber","

If youre a Princeton student who is interested in gaining IRL leadership and entrepreneurial experience by running your own on-campus business, then this information session is for you! Join us and see what Princeton Student Agencies is all about. Refreshments and snacks will be served.


Related Link: http://www.studentagencies.net

Tags: Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhPdRVmncmysFK/20190110
","Frist Campus Center, Seminar Room 206"
"Reading of Disposable Ghosts, a New Play by Katie Duggan","01/10/2019 19:00","01/10/2019 19:00","Thu","00:00","","Becky Barber","Becky Barber","

The Program in Theater presents a reading of a new play by senior Katie Duggan that tells the story of a suburban town wrestling with the protest of a controversial statue in advance of their historical anniversary celebration, leading to debates about unspoken town and family traumas.


Related Link: https://arts.princeton.edu/reading-of-a-new-play-by-katie-duggan

Tags: Arts, Theater, Literary Arts, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjhPjbrtXkjBKMt/20190110
","Whitman College Theater, Whitman College"
"Machinal","01/10/2019 20:00","01/10/2019 20:00","Thu","00:00","","Becky Barber","Becky Barber","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjVfvjvwxPBYwfT/20190110
","Wallace Theater, 122 Alexander Street"
"BodyHype Dance Company Presents Fahrenheit","01/10/2019 20:00","01/10/2019 22:00","Thu","02:00","03:30","Becky Barber","Becky Barber","

BodyHype Dance Company, founded in 1991, is putting on their 27th annual show in Theatre Intime. The show is called BodyHype Dance Company presents Fahrenheit in which 40 students work the Theatre Intime to put on a diverse dance show that encompasses contemporary, hip-hip, jazz, breaking, and lyrical pieces. Over 200 individuals attend each show, and we plan on having 5 shows in total. The show will occur during reading period as a great study break for many students.



Tags: ODUS, Students
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CrnbrFSBdVwTCWdYYmNr/20190110
","Theatre Intime"
"Princeton Pitch","01/11/2019 13:00","01/11/2019 15:00","Fri","02:00","","Becky Barber","Becky Barber","

Princeton Pitch is an elevator pitch competition co-organized by the Princeton Entrepreneurship Club and Princeton Social Innovation. Students form small teams and are given 90 seconds to pitch their ideas to a panel of judges. Applicants can either submit their idea to the general track or the social track. The social track requires that the idea yield some sort of positive social impact (this can include efforts geared toward sustainability, renewability, social welfare, etc). Prize money is awarded to the top three teams in each track. Princeton Pitch is therefore a competition aimed at providing students with exposure to the pitch process, as well as resources to jumpstart students on their journey in shaping their ideas into tangible products or ventures.



Tags: Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhdSmPsxbJrWdn/20190111
","McCormick Hall, Room 101"
"Jummah Prayer in Murray-Dodge","01/11/2019 13:00","01/11/2019 15:00","Fri","02:00","","Becky Barber","Becky Barber","

Join us for Jummah Prayer in Murray-Dodge Hall each Friday at 1pm.  All are welcome!  For more information, email Imam Sohaib Sultan ssultan@princeton.edu



Tags: Students, Community, Religious, Cultural
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhRTWFZxCzNJJz/20190111
",""
"BodyHype Dance Company Presents Fahrenheit","01/11/2019 19:00","01/11/2019 21:00","Fri","02:00","","Becky Barber","Becky Barber","

BodyHype Dance Company, founded in 1991, is putting on their 27th annual show in Theatre Intime. The show is called BodyHype Dance Company presents Fahrenheit in which 40 students work the Theatre Intime to put on a diverse dance show that encompasses contemporary, hip-hip, jazz, breaking, and lyrical pieces. Over 200 individuals attend each show, and we plan on having 5 shows in total. The show will occur during reading period as a great study break for many students.



Tags: ODUS, Students
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CrnbrFSBdVwTCWdYYmNY/20190111
","Theatre Intime"
"Men's Ice Hockey vs. Harvard","01/11/2019 19:00","01/11/2019 22:00","Fri","03:00","","Becky Barber","Becky Barber","




Tags: Athletics, Hockey
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVdbwsCJpkRfbtv/20190111
","Baker Rink"
"Wrestling vs. UNC","01/11/2019 19:00","01/11/2019 21:00","Fri","02:00","","Becky Barber","Becky Barber","




Tags: Athletics, Wrestling
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVNPYyrWpdhRzbM/20190111
","Jadwin Gym, Basketball Courts"
"Machinal","01/11/2019 20:00","01/11/2019 20:00","Fri","00:00","","Becky Barber","Becky Barber","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal-2019-01-11

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjdbXcjcDpFZnbZ/20190111
","Wallace Theater, 122 Alexander Street"
"BodyHype Dance Company Presents Fahrenheit","01/11/2019 22:00","01/12/2019 00:00","Fri","02:00","13:00","Becky Barber","Becky Barber","

BodyHype Dance Company, founded in 1991, is putting on their 27th annual show in Theatre Intime. The show is called BodyHype Dance Company presents Fahrenheit in which 40 students work the Theatre Intime to put on a diverse dance show that encompasses contemporary, hip-hip, jazz, breaking, and lyrical pieces. Over 200 individuals attend each show, and we plan on having 5 shows in total. The show will occur during reading period as a great study break for many students.



Tags: ODUS, Students
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CrnbrFSBdVwTCWdYYmNW/20190111
","Theatre Intime"
"Women's Swimming vs Rutgers & Villanova","01/12/2019 11:00","01/12/2019 15:00","Sat","04:00","","Becky Barber","Becky Barber","




Tags: Athletics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVnPjpNjrMCPmMN/20190112
","DeNunzio Pool"
"Wrestling vs. Oklahoma State","01/12/2019 13:00","01/12/2019 15:00","Sat","02:00","","Becky Barber","Becky Barber","




Tags: Athletics, Wrestling
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVPSVWsKNvpVbbr/20190112
","Jadwin Gym, Basketball Courts"
"Men's Ice Hockey vs. Dartmouth","01/12/2019 19:00","01/12/2019 22:00","Sat","03:00","","Becky Barber","Becky Barber","




Tags: Athletics, Hockey
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVdbwsCJpkRfbZJ/20190112
","Baker Rink"
