Title,Start,End,Duration,Description,Where,Categories
PSA Information Sessions,1/10/19 15:00,1/10/19 16:30,1:30,"
If youre a Princeton student who is interested in gaining IRL leadership and entrepreneurial experience by running your own on-campus business, then this information session is for you! Join us and see what Princeton Student Agencies is all about. Refreshments and snacks will be served.
Related Link: http://www.studentagencies.net
Tags: Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.
Post: https://timeline.princeton.edu/post/DPRJTzVhPdRVmncmysFK/20190110
","Frist Campus Center, Seminar Room 206",Career
"Reading of Disposable Ghosts, a New Play by Katie Duggan",1/10/19 19:00,1/10/19 19:00,0:00,"
The Program in Theater presents a reading of a new play by senior Katie Duggan that tells the story of a suburban town wrestling with the protest of a controversial statue in advance of their historical anniversary celebration, leading to debates about unspoken town and family traumas.
Related Link: https://arts.princeton.edu/reading-of-a-new-play-by-katie-duggan
Tags: Arts, Theater, Literary Arts, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.
Post: https://timeline.princeton.edu/post/CxpCRmjhPjbrtXkjBKMt/20190110
","Whitman College Theater, Whitman College","Arts, Theater"
Machinal,1/10/19 20:00,1/10/19 20:00,0:00,"
Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 
Related Link: https://arts.princeton.edu/machinal
Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.
Post: https://timeline.princeton.edu/post/CxpCRmjVfvjvwxPBYwfT/20190110
","Wallace Theater, 122 Alexander Street","Theater, Arts"
Princeton Pitch,1/11/19 13:00,1/11/19 15:00,2:00,"
Princeton Pitch is an elevator pitch competition co-organized by the Princeton Entrepreneurship Club and Princeton Social Innovation. Students form small teams and are given 90 seconds to pitch their ideas to a panel of judges. Applicants can either submit their idea to the general track or the social track. The social track requires that the idea yield some sort of positive social impact (this can include efforts geared toward sustainability, renewability, social welfare, etc). Prize money is awarded to the top three teams in each track. Princeton Pitch is therefore a competition aimed at providing students with exposure to the pitch process, as well as resources to jumpstart students on their journey in shaping their ideas into tangible products or ventures.
Tags: Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.
Post: https://timeline.princeton.edu/post/DPRJTzVhdSmPsxbJrWdn/20190111
","McCormick Hall, Room 101",Entrepreneurship
Jummah Prayer in Murray-Dodge,1/11/19 13:00,1/11/19 15:00,2:00,"
