"Title","Start","End","Duration","Description","Where","Categories"
"PSA Information Sessions","2019-01-10 15:00","2019-01-10 16:30","01:30","

If youre a Princeton student who is interested in gaining IRL leadership and entrepreneurial experience by running your own on-campus business, then this information session is for you! Join us and see what Princeton Student Agencies is all about. Refreshments and snacks will be served.


Related Link: http://www.studentagencies.net

Tags: Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhPdRVmncmysFK/20190110
","Frist Campus Center, Seminar Room 206","Career"
"Reading of Disposable Ghosts, a New Play by Katie Duggan","2019-01-10 19:00","2019-01-10 19:00","00:00","

The Program in Theater presents a reading of a new play by senior Katie Duggan that tells the story of a suburban town wrestling with the protest of a controversial statue in advance of their historical anniversary celebration, leading to debates about unspoken town and family traumas.


Related Link: https://arts.princeton.edu/reading-of-a-new-play-by-katie-duggan

Tags: Arts, Theater, Literary Arts, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjhPjbrtXkjBKMt/20190110
","Whitman College Theater, Whitman College","Arts, Theater"
"Machinal","2019-01-10 20:00","2019-01-10 20:00","00:00","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjVfvjvwxPBYwfT/20190110
","Wallace Theater, 122 Alexander Street","Theater, Arts"
"Princeton Pitch","2019-01-11 13:00","2019-01-11 15:00","02:00","

Princeton Pitch is an elevator pitch competition co-organized by the Princeton Entrepreneurship Club and Princeton Social Innovation. Students form small teams and are given 90 seconds to pitch their ideas to a panel of judges. Applicants can either submit their idea to the general track or the social track. The social track requires that the idea yield some sort of positive social impact (this can include efforts geared toward sustainability, renewability, social welfare, etc). Prize money is awarded to the top three teams in each track. Princeton Pitch is therefore a competition aimed at providing students with exposure to the pitch process, as well as resources to jumpstart students on their journey in shaping their ideas into tangible products or ventures.



Tags: Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhdSmPsxbJrWdn/20190111
","McCormick Hall, Room 101","Entrepreneurship"
"Jummah Prayer in Murray-Dodge","2019-01-11 13:00","2019-01-11 15:00","02:00","

Join us for Jummah Prayer in Murray-Dodge Hall each Friday at 1pm.  All are welcome!  For more information, email Imam Sohaib Sultan ssultan@princeton.edu



Tags: Students, Community, Religious, Cultural
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhRTWFZxCzNJJz/20190111
","","Cultural"
"Men's Ice Hockey vs. Harvard","2019-01-11 19:00","2019-01-11 22:00","03:00","




Tags: Athletics, Hockey
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVdbwsCJpkRfbtv/20190111
","Baker Rink","Athletic"
"Wrestling vs. UNC","2019-01-11 19:00","2019-01-11 21:00","02:00","




Tags: Athletics, Wrestling
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVNPYyrWpdhRzbM/20190111
","Jadwin Gym, Basketball Courts","Athletic"
"Machinal","2019-01-11 20:00","2019-01-11 20:00","00:00","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal-2019-01-11

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjdbXcjcDpFZnbZ/20190111
","Wallace Theater, 122 Alexander Street","Theater, Arts"
"Women's Swimming vs Rutgers & Villanova","2019-01-12 11:00","2019-01-12 15:00","04:00","




Tags: Athletics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVnPjpNjrMCPmMN/20190112
","DeNunzio Pool","Athletics"
"Wrestling vs. Oklahoma State","2019-01-12 13:00","2019-01-12 15:00","02:00","




Tags: Athletics, Wrestling
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVPSVWsKNvpVbbr/20190112
","Jadwin Gym, Basketball Courts","Athletics"
